,สิ่งของ,,ฟังก์ชัน,,ทาร์เก็ต
1,ปากกา,1,กระตุ้นการทำงานของสมอง   ,1,เด็กและเยาวชน  อายุ 8-18 ปี
2,กระดาษ,2,ขจัดกลิ่นไม่พึงประสงค์  ,2,นักศึกษา  อายุ 18-25 ปี
3,มือถือ,3,ขจัดความเครียด  ,3,ผู้เริ่มทำงาน  อายุ 20-30 ปี
4,จักรยาน,4,ควบคุมการไหลของข้อมูล   ,4,ครอบครัวและผู้ปกครอง  อายุ 30-50 ปี
5,เครื่องบิน,5,จัดการการเตรียมงานง่ายขึ้น   ,5,ผู้สูงอายุ  อายุ 60 ปีขึ้นไป
6,โต๊ะ,6,ช่วยจัดระเบียบข้อมูล  ,6,ผู้ประกอบการ  อายุ 25-50 ปี
7,เก้าอี้,7,ช่วยจัดระเบียบความคิด  ,7,นักกีฬา  อายุ 20-40 ปี
8,ตะกร้า,8,ช่วยในการควบคุมการใช้งานอุปกรณ์อิเล็กทรอนิกส์สะดวกขึ้น    ,8,นักวิจัย  อายุ 25-55 ปี
9,กล่อง,9,ช่วยในการควบคุมการใช้พลังงานในบ้านสะดวกขึ้น    ,9,นักการศึกษา  อายุ 25-55 ปี
10,กระเป๋า,10,ช่วยในการควบคุมความเป็นระเบียบ  ,10,แม่บ้าน เพศหญิง อายุ 30-50 ปี
11,หมวก,11,ช่วยในการควบคุมความเร็ว  ,11,เจ้าของธุรกิจขนาดเล็ก  อายุ 25-50 ปี
12,แว่นตา,12,ช่วยในการควบคุมเวลา  ,12,นักเขียน  อายุ 25-50 ปี
13,ขวดน้ำ,13,ช่วยในการควบคุมสภาพอากาศในอาคารสะดวกขึ้น    ,13,ผู้ที่ทำงานในอุตสาหกรรมการผลิต  อายุ 25-50 ปี
14,ถุงมือ,14,ช่วยในการควบคุมอุปกรณ์ต่าง ๆ ได้อย่างแม่นยำ   ,14,กลุ่มผู้สูงอายุที่ต้องการการดูแลพิเศษ  อายุ 60 ปีขึ้นไป
15,ช้อนส้อม,15,ช่วยในการคัดเลือกผู้สมัครงานสะดวกขึ้น    ,15,เจ้าของร้านค้า  อายุ 25-50 ปี
16,แปรงสีฟัน,16,ช่วยในการคำนวณงบประมาณได้ง่ายขึ้น   ,16,ผู้ที่มองหาผลิตภัณฑ์การศึกษาออนไลน์  อายุ 18-40 ปี
17,โทรศัพท์,17,ช่วยในการคำนวณระยะเวลาในการทำงานได้แม่นยำขึ้น    ,17,ผู้ที่สนใจในการอนุรักษ์สิ่งแวดล้อม  อายุ 20-50 ปี
18,คอมพิวเตอร์,18,ช่วยในการจัดการกับเวลาให้มีประสิทธิภาพ   ,18,ผู้ที่สนใจเทคโนโลยีการบ้านอัจฉริยะ  อายุ 30-50 ปี
19,นาฬิกา,19,ช่วยในการจัดการการเดินทางระยะยาวสะดวกขึ้น  -  ,19,ผู้ที่รักการท่องเที่ยว  อายุ 18-40 ปี
20,กุญแจ,20,ช่วยในการจัดการการทำงานจากที่บ้านสะดวกขึ้น    ,20,ผู้ที่ต้องการเครื่องมือในการพัฒนาตัวเอง  อายุ 18-40 ปี
21,ไฟฉาย,21,ช่วยในการจัดการการประชุม   ,21,กลุ่มคนที่รักการดูแลสัตว์  อายุ 20-50 ปี
22,เตารีด,22,ช่วยในการจัดการกิจกรรมการประชุมสะดวกขึ้น    ,22,ผู้ที่สนใจในอุตสาหกรรมอาหาร  อายุ 20-50 ปี
23,หม้อหุงข้าว,23,ช่วยในการจัดการสินค้าคงคลัง   ,23,ผู้ที่สนใจการดูแลสุขภาพจิต  อายุ 20-50 ปี
24,เครื่องปั่น,24,ช่วยในการจัดระเบียบงาน   ,24,นักออกแบบ  อายุ 20-45 ปี
25,เครื่องดูดฝุ่น,25,ช่วยในการเชื่อมต่อกับแหล่งข้อมูลต่าง ๆ   ,25,นักวิศวกรรม  อายุ 25-50 ปี
26,ตู้เย็น,26,ช่วยในการเชื่อมต่อระหว่างอุปกรณ์ต่าง ๆ ได้ง่ายขึ้น   ,26,กลุ่มที่สนใจด้านสังคมและการพัฒนา  อายุ 25-50 ปี
27,เครื่องซักผ้า,27,ช่วยในการตรวจสอบการใช้งานทรัพยากร   ,27,ผู้สนใจในผลิตภัณฑ์ด้านสุขภาพ  อายุ 20-50 ปี
28,ไมโครเวฟ,28,ช่วยในการตรวจสอบความคืบหน้าในการทำงานได้เร็วขึ้น     ,28,กลุ่มผู้ที่ทำงานด้านสื่อสารมวลชน  อายุ 20-50 ปี
